,recapito,nome,numero_afferenti,email,ultimo_acquisto,data_ultimo_acquisto
54,432373435, Market Expansion,104,marketexpansion@company.com,"Pizzamano, Fagotto e Pacetti SPA",2022-09-01
55,432805853, Market Forecasting,76,marketforecasting@company.com,Filippini-Columbo s.r.l.,2022-12-28
56,432566663, Marketing,102,marketing@company.com,"Vespucci, Scaduto e Boito Group",2022-11-14
57,432967890, Market Research,85,marketresearch@company.com,Cagnotto e figli,2022-12-03
58,432213088, Media Relations,101,mediarelations@company.com,"Maglio, Zaguri e Necci s.r.l.",2021-10-11
59,432781340, Mobile App Development,101,mobileappdevelopment@company.com,"Mozart, Cicala e Catenazzi SPA",2021-04-05
60,432573058, Network Operations,116,networkoperations@company.com,"Boaga, Faugno e Samele SPA",2023-01-19
61,432282244, Online Community Management,97,onlinecommunitymanagement@company.com,Calarco SPA,2022-08-12
62,432466886, Operations,109,operations@company.com,Morpurgo-Petrocelli Group,2022-08-17
63,432279492, Outsourcing,114,outsourcing@company.com,Sonnino-Capecchi e figli,2021-01-08
64,432779985, Performance Management,105,performancemanagement@company.com,"Burcardo, Sanguineti e Buonauro SPA",2022-07-15
65,432751355, Procurement,89,procurement@company.com,Sinisi Group,2022-05-07
66,432979830, Product Development,87,productdevelopment@company.com,Ponti-Gianinazzi Group,2021-03-12
67,432606385, Product Marketing,110,productmarketing@company.com,"Fo, Trapanese e Bonanno e figli",2022-07-16
68,432965039, Product Support,119,productsupport@company.com,Solimena Group,2022-07-29
69,432198546, Project Management,92,projectmanagement@company.com,"Caccianemico, Cossiga e Zanazzo e figli",2022-03-23
70,432370181, Public Relations,94,publicrelations@company.com,"Farnese, Chigi e Pontecorvo SPA",2022-06-28
71,432164392, Quality Assurance,99,qualityassurance@company.com,"Zola, Callegari e Babbo s.r.l.",2023-07-05
72,432494599, Regulatory Affairs,104,regulatoryaffairs@company.com,Marcacci SPA,2021-02-22
73,432958782, Regulatory Compliance,78,regulatorycompliance@company.com,Mancini-Ferrante s.r.l.,2023-06-14
74,432220254, Research and Development,97,researchanddevelopment@company.com,Mazzini-Lussu SPA,2023-01-22
75,432519236, Research and Innovation,97,researchandinnovation@company.com,"Caffarelli, Venditti e Tirabassi Group",2023-07-17
76,432341154, Risk Management,99,riskmanagement@company.com,Binaghi SPA,2021-10-23
77,432598824, Sales,95,sales@company.com,Onio-Polani SPA,2022-06-29
78,432274928, Sales Enablement,106,salesenablement@company.com,"Togliatti, Anichini e Pistoletto SPA",2023-03-21
79,432521844, Sales Operations,105,salesoperations@company.com,Pizziol e figli,2022-08-23
80,432553334, Social Media Management,110,socialmediamanagement@company.com,Barillaro-Crispi SPA,2021-07-11
81,432759556, Software Engineering,78,softwareengineering@company.com,Scotto e figli,2023-03-10
82,432123721, Software Testing,108,softwaretesting@company.com,Lippomano-Mazzi SPA,2022-08-06
83,432230544, Strategic Partnerships,107,strategicpartnerships@company.com,Curiel-Onisto SPA,2023-04-03
84,432671035, Strategic Planning,97,strategicplanning@company.com,"Forza, Saraceno e Casalodi SPA",2023-06-29
85,432554091, Supplier Relations,90,supplierrelations@company.com,Bernardi e figli,2021-03-16
86,432568595, Supply Chain,109,supplychain@company.com,Chigi-Bassi SPA,2022-09-15
87,432249256, Sustainability,101,sustainability@company.com,"Molesini, Castiglione e Marinetti e figli",2023-01-28
88,432497126, Talent Acquisition,100,talentacquisition@company.com,Ostinelli Group,2022-03-02
89,432758355, Talent Management,94,talentmanagement@company.com,"Crispi, Perini e Iannuzzi SPA",2022-11-02
90,432712933, Tax,102,tax@company.com,"Mazzocchi, Boito e Casale Group",2022-11-27
91,432976598, Training and Development,117,traininganddevelopment@company.com,"Farnese, Chigi e Pontecorvo SPA",2023-03-04
92,432725288, Training and Education,100,trainingandeducation@company.com,Petrassi SPA,2022-02-17
93,432189137, User Experience,110,userexperience@company.com,Mancini-Ferrante s.r.l.,2021-06-29
94,432137475, Vendor Management,93,vendormanagement@company.com,Tafuri-Gatto s.r.l.,2023-07-19
95,432991760, Warehouse and Distribution,92,warehouseanddistribution@company.com,"Oliboni, Olivetti e Tomasetti SPA",2022-03-01
96,432723057, Web Development,92,webdevelopment@company.com,"Campano, Morandini e Ammaniti Group",2022-08-06
97,432810050, Workplace Culture,122,workplaceculture@company.com,Raurica SPA,2021-10-29
